시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도
안양시,관악역,Gwanak Station ,208000047,9066,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,37.4186833,126.90675
안양시,관악역,Gwanak Station ,208000034,9082,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,37.4199,126.90925
안양시,관악역,Gwanak Station ,208000092,9078,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,37.4188333,126.9086833
안양시,관악역,Gwanak Station ,208000118,9064,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,37.4181167,126.9070667
안양시,관악역,Gwanak Station ,208000130,9072,노변정류장,경기도 안양시,경기도 안양시 만안구 석수동,37.4171667,126.9083167
안양시,관악장애인종합복지관,Gwanak Welfare Center for the Disabled,208000233,9215,노변정류장,경기도 안양시,,37.4117167,126.9209667
안양시,관악초등학교,Anyang Kwanak Elementary School ,209000247,10221,노변정류장,경기도 안양시,경기도 안양시 동안구 관양동,37.4078333,126.9675667
안양시,관악초등학교,Anyang Kwanak Elementary School ,209000248,10222,노변정류장,경기도 안양시,경기도 안양시 동안구 관양동,37.4077333,126.968
안양시,관악타운,Gwanak Town ,209000179,10011,노변정류장,경기도 안양시,경기도 안양시 동안구 비산동,37.3946,126.9415
안양시,관악타운,Gwanak Town,209000176,10010,노변정류장,경기도 안양시,경기도 안양시 동안구 비산동,37.3942167,126.9411667
안양시,관악타운(경유),,277102752,,,,,37.3944333,126.94175
안양시,관악타운정문,Gwangak Town Main Gate,209000291,10361,노변정류장,경기도 안양시,,37.39625,126.943
안양시,관양1동주민센터,Gwanyang 1-dong Community Center,209000036,10139,노변정류장,경기도 안양시,경기도 안양시 동안구 관양동,37.4042833,126.9655833
안양시,관양1동주민센터,Gwanyang 1-dong Community Center,209000052,10140,노변정류장,경기도 안양시,경기도 안양시 동안구 관양동,37.4048,126.9654667
안양시,관양2동주민센터,Gwanyang 2-dong Community Center,209000255,10228,노변정류장,경기도 안양시,경기도 안양시 동안구 관양동,37.4027167,126.9708167
안양시,관양고등학교,Gwanyang High School ,209000388,10354,노변정류장,경기도 안양시,,37.4078667,126.9603167
안양시,관양고등학교,Gwanyang High School ,209000281,10247,노변정류장,경기도 안양시,,37.4079,126.9600667
안양시,관양동파출소,Gwanyang-dong Police Box,209000357,10321,노변정류장,경기도 안양시,,37.4037167,126.9516
안양시,관양두산벤처다임.네비웍스,"Doosan Venture Digm, Naviworks",209000384,10350,노변정류장,경기도 안양시,,37.4020167,126.96615
안양시,관양중학교,Kwanyang Middle School,209000227,10114,노변정류장,경기도 안양시,경기도 안양시 동안구 관양동,37.4036333,126.9617
안양시,관양중학교,Kwanyang Middle School,209000037,10107,노변정류장,경기도 안양시,경기도 안양시 동안구 관양동,37.4034167,126.96055
안양시,관양중학교,Kwanyang Middle School,209000051,10112,노변정류장,경기도 안양시,경기도 안양시 동안구 관양동,37.4040667,126.9611833
안양시,광명역IC(경유),,274199950,,,,,37.4039,126.8791667
안양시,광명역IC(경유),,277103208,,,,,37.4040833,126.8795667
안양시,광명역IC(경유),,277103209,,,,,37.4045167,126.8798
안양시,광명역IC진입(경유),,277102912,,,,,37.4074667,126.8800167
안양시,광명역IC출입(경유),,277102913,,,,,37.4073667,126.8802333
안양시,국민은행.엔씨백화점,"KB Bank, NC Department Store",209000109,10067,노변정류장,경기도 안양시,경기도 안양시 동안구 호계동,37.3916,126.9530667
안양시,국토연구원사거리(경유),,277103103,,,,,37.39415,126.9593333
안양시,귀인동주민센터,Gwiin-dong Community Center,209000269,10235,노변정류장,경기도 안양시,경기도 안양시 동안구 평촌동,37.3851833,126.9693
안양시,귀인중학교,Gwiin Middle School,209000159,10134,노변정류장,경기도 안양시,경기도 안양시 동안구 평촌동,37.3842333,126.9647167
