기준일자,정류소 명,정류소 번호,정류소 ID,권역,행정동 명,X 좌표,위도,Y 좌표,경도
2022-05-16,주안3동행정복지센터,37201,163000201,미추홀구,주안3동,171052.0737,126.6736465,438519.2539,37.44837273
2022-05-16,주안4동행정복지센터,37333,163000333,미추홀구,주안4동,172554.6713,126.690601,439223.0082,37.45475939
2022-05-16,주안4동행정복지센터,37335,163000335,미추홀구,주안4동,172536.9528,126.6904003,439235.0609,37.45486745
2022-05-16,주안5동행정복지센터,37526,163000526,미추홀구,주안5동,172222.8164,126.6868013,440523.0644,37.46646285
2022-05-16,주안7동행정복지센터,37216,163000216,미추홀구,주안7동,171394.99,126.6775221,438509.4418,37.44829501
2022-05-16,주안7동행정복지센터,37214,163000214,미추홀구,주안7동,171398.0849,126.6775579,438488.9022,37.44811004
2022-05-16,주안국가산단역,37583,163000583,서구,가좌동,171763.5074,126.6815775,441355.1151,37.4739456
2022-05-16,주안국가산단역,37584,163000584,미추홀구,주안5동,171758.5321,126.6815226,441319.5771,37.47362525
2022-05-16,주안남초등학교,37284,163000284,미추홀구,주안8동,171951.014,126.6837943,438810.0539,37.45102056
2022-05-16,주안남초등학교,37283,163000283,미추홀구,주안4동,171837.893,126.6825141,438855.3336,37.45142508
2022-05-16,주안도서관,37342,163000342,미추홀구,주안4동,172740.5512,126.692701,439244.4626,37.4549582
2022-05-16,주안도서관,37341,163000341,미추홀구,주안4동,172739.1882,126.6926861,439231.7256,37.4548434
2022-05-16,주안매매단지,37586,163000586,미추홀구,주안5동,171932.8774,126.683507,440966.1078,37.47044585
2022-05-16,주안북부,37471,163000471,미추홀구,주안5동,171630.3252,126.6801017,440583.9255,37.46699318
2022-05-16,주안북부역,37418,163000418,미추홀구,주안5동,171501.6318,126.6786463,440600.0943,37.46713489
2022-05-16,주안북부역,37420,163000420,미추홀구,주안5동,171640.8522,126.6802215,440561.979,37.46679577
2022-05-16,주안북초등학교,37417,163000417,미추홀구,주안5동,171445.8758,126.6780166,440586.942,37.46701467
2022-05-16,주안사거리,37514,163000514,미추홀구,주안2동,171353.9252,126.6770138,439647.3503,37.45854619
2022-05-16,주안사거리,37330,163000330,미추홀구,주안1동,171377.9643,126.6772843,439676.5757,37.45881025
2022-05-16,주안시범공단,39927,165000927,미추홀구,주안5동,172012.6365,126.6844069,441012.0707,37.4708624
2022-05-16,주안아파트,37207,163000207,미추홀구,주안8동,172015.4355,126.6845457,438194.0643,37.44547249
2022-05-16,주안아파트,37209,163000209,미추홀구,주안8동,172028.2982,126.6846906,438207.247,37.44559165
2022-05-16,주안역,37387,163000387,미추홀구,주안1동,171628.2833,126.6800945,440172.2727,37.46328417
2022-05-16,주안역,37402,163000402,미추홀구,주안1동,171811.7324,126.6821647,440259.6048,37.46407664
2022-05-16,주안역,37506,163000506,미추홀구,주안1동,171767.339,126.6816638,440236.7636,37.46386949
2022-05-16,주안역,37389,163000389,미추홀구,주안1동,171661.8375,126.6804738,440170.9883,37.46327362
2022-05-16,주안역센트레빌아파트,37430,163000430,미추홀구,주안5동,172000.0041,126.6842822,440535.9571,37.46657228
2022-05-16,주안역센트레빌아파트정문,37490,163000490,미추홀구,주안5동,172119.1611,126.6856181,440826.7413,37.46919582
2022-05-16,주안역환승정류장,37503,163000503,미추홀구,주안1동,171639.3466,126.6802141,440312.2079,37.46454531
2022-05-16,주안역환승정류장,37617,163000617,미추홀구,주안1동,171635.1038,126.6801678,440268.3972,37.46415045
